access_type,file_path,function,isNonReentrant
onlyUpdater,contracts/oracle/FastPriceFeed.sol,setPricesWithBits,
onlyUpdater,contracts/oracle/FastPriceFeed.sol,setPricesAndExecute,
onlyUpdater,contracts/oracle/FastPriceFeed.sol,setPrices,
onlyUpdater,contracts/oracle/FastPriceFeed.sol,setCompactedPrices,
onlyRole(WITHDRAW_ROLE),contracts/fee/FeeVault.sol,withdraw,
onlyRole(WITHDRAW_ROLE),contracts/fee/FeeRouter.sol,withdraw,
onlyRole(VAULT_MGR_ROLE),contracts/vault/VaultRouter.sol,setMarket,
onlyRole(VAULT_MGR_ROLE),contracts/vault/VaultRouter.sol,removeMarket,
onlyRole(VAULT_MGR_ROLE),contracts/vault/VaultReward.sol,setAPR,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketValid.sol,setConfData,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketValid.sol,setConf,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketRouter.sol,updatePositionBook,nonReentrant
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketRouter.sol,setIsEnableMarketConvertToOrder,nonReentrant
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketRouter.sol,removeMarket,nonReentrant
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketRouter.sol,addMarket,nonReentrant
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketFactory.sol,remove,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketFactory.sol,marketAskForControllerRole,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketFactory.sol,grantPosKeeper,
onlyRole(MARKET_MGR_ROLE),contracts/market/MarketFactory.sol,create,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setPriceFeed,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setPositionMgr,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setPositionBook,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setOrderMgr,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setOrderBooks,
onlyRole(MARKET_MGR_ROLE),contracts/market/Market.sol,setMarketValid,
onlyRole(MARKET_MGR_ROLE),contracts/fee/FeeRouter.sol,setFeeAndRates,
onlyRole(MANAGER_ROLE),contracts/ac/AcUpgradable.sol,grantAndRevoke,
onlyRole(GLOBAL_MGR_ROLE),contracts/market/GlobalValid.sol,setMaxUserNetSizeLimit,
onlyRole(GLOBAL_MGR_ROLE),contracts/market/GlobalValid.sol,setMaxSizeLimit,
onlyRole(GLOBAL_MGR_ROLE),contracts/market/GlobalValid.sol,setMaxNetSizeLimit,
onlyRole(GLOBAL_MGR_ROLE),contracts/market/GlobalValid.sol,setMaxMarketSizeLimit,
onlyRewardTracker,contracts/vault/RewardDistributor.sol,distribute,
onlyPositionKeeper,contracts/market/Market.sol,liquidatePositions,
onlyPositionKeeper,contracts/market/Market.sol,execOrderKey,
onlyOwner,contracts/market/MarketReader.sol,initialize,
onlyMarket,contracts/vault/VaultRouter.sol,repayToVault,
onlyMarket,contracts/vault/VaultRouter.sol,borrowFromVault,
onlyFreezer,contracts/vault/VaultRouter.sol,setIsFreeze,
onlyFreezer,contracts/vault/CoreVault.sol,setIsFreeze,
onlyController,contracts/vault/VaultRouter.sol,transferToVault,
onlyController,contracts/vault/VaultRouter.sol,transferFromVault,
onlyController,contracts/vault/CoreVault.sol,transferOutAssets,
onlyController,contracts/referral/Referral.sol,updatePositionCallback,
onlyController,contracts/position/PositionStore.sol,set,
onlyController,contracts/position/PositionStore.sol,remove,
onlyController,contracts/position/PositionBook.sol,liquidatePosition,
onlyController,contracts/position/PositionBook.sol,increasePosition,
onlyController,contracts/position/PositionBook.sol,decreasePosition,
onlyController,contracts/position/PositionBook.sol,decreaseCollateralFromCancelInvalidOrder,
onlyController,contracts/order/OrderStore.sol,set,
